 Sites Name , site ID , Region , District , Site Status (Grid/Prime) , ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 WALALA , TN42011 , South , Zomba , GRID , PREPAID ," 1,000 ", 630 , -   , 600 , 30 ," 2,914 "," 2,928 ", 14 , 2 ," 5,825 ", -   , -   , -   
 NASAWA  , TN31023 , South , Zomba , GRID , PREPAID , 600 , 600 , -   , 535 , 65 ," 22,672 "," 22,698 ", 26 , 3 ,, -   , -   , -   
 DZAONE , TN31028 , South , Zomba , GRID , PREPAID , 600 ," 1,000 "," 1,082 ", 690 ," 1,392 "," 4,437 "," 4,985 ", 548 , 3 ," 4,271 ", -   , -   , -   
 ZOMBA ESCOM , TN30031 , South , Zomba , GRID , POSTPAID , 600 , 592 , -   , 592 , -   ," 11,511 "," 11,511 ", -   ,#DIV/0!,, -   , -   , -   
 THONDWE , TN31027 , South , Zomba , OFF GRID  ,, 600 , 800 , -   , 790 , 10 ," 13,676 "," 13,680 ", 4 , 3 ,, -   , -   , -   
 ZOMBA WICO MOBILE , TN30035 , South , Zomba , GRID , POSTPAID ACCESS , 600 , 510 , -   , 400 , 110 ," 15,779 "," 15,834 ", 55 , 2 ,, -   , -   , -   
 CHICHIRI_SCHOOL , TN30030 , South , Zomba , GRID  , PREPAID  , 600 , 641 , -   , 633 , 8 , 373 , 377 , 4 , 2 , 399 , -   , -   , -   
 LIKUNGWATI , TN30009 , South , Zomba , GRID , PREPAID , 600 , 591 , -   , 501 , 90 ," 3,167 "," 3,192 ", 25 , 4 ," 1,026 ", -   , -   , -   
 KAMOTO , TN44004 , South , Chiradzulo , OFF GRID  , OFF GRID , 600 , 649 , 593 ," 1,000 ", 242 ," 6,187 "," 6,287 ", 100 , 2 ,, -   , -   , -   
 NAISI  , TN30021 , South , Zomba , GRID , PREPAID , 600 , 900 , -   , 853 , 47 ," 8,018 "," 8,038 ", 20 , 2 ," 2,718 ", -   , -   , -   
 DOMASI , TN31004 , South , Zomba , GRID , PREPAID , 800 , 450 , -   , 357 , 93 ," 23,188 "," 23,232 ", 44 , 2 ," 5,121 ", -   , -   , -   
 JALI , TN31005 , South , Zomba , GRID , POSTPAID MTL , 600 , 520 , -   , 520 , -   ," 13,803 "," 13,803 ", -   ,#DIV/0!," 16,328 ", -   , -   , -   
 PHALOMBE , TN45012 , South , Phalombe , GRID , POSTPAID , 600 , 518 , 108 , 600 , 26 ," 34,073 "," 34,092 ", 19 , 1 ,, -   , -   , -   
 NOLO (NEW) , TN45009 , South , Phalombe , GRID , PREPAID , 600 , 992 , -   , 992 , -   ," 16,915 "," 16,915 ", -   ,#DIV/0!," 1,300 ", -   , -   , -   
 NJUMWA NEW , TN45007 , South , Phalombe , GRID , PREPAID MTL ," 1,000 ", 662 , -   , 660 , 2 ," 9,261 "," 9,262 ", 1 , 2 , -   , -   , -   , -   
 OLD NAISI NEWLINES , TN30039 , South , Zomba , OFF GRID , OFF GRID , 600 , 486 , -   , 478 , 8 ," 20,567 "," 20,571 ", 4 , 2 ," 8,855 ", -   , -   , -   
 CHIRINGA , TN45001 , South , Phalombe , OFF GRID  ,," 1,000 "," 1,000 "," 1,141 ", 905 ," 1,236 "," 1,767 "," 2,324 ", 557 , 2 ,, -   , -   , -   
 ST MARYS , TN30034 , South , Zomba , GRID , PREPAID , 600 , 600 , -   , 554 , 46 , 1 , 23 , 22 , 2 ,, -   , -   , -   
 SADZI , TN30024 , South , Zomba , GRID , PREPAID , 600 , 590 , -   , 590 , -   ," 12,847 "," 12,847 ", -   ,#DIV/0!, 811 , -   , -   , -   
 CHANCO , TN30001 , South , Zomba , GRID , PREPAID , 600 , 990 , -   , 984 , 6 ," 3,287 "," 3,289 ", 2 , 3 ," 4,738 ", -   , -   , -   
 KACHULU , TN31007 , South , Zomba , GRID , PREPAID , 600 , 550 , -   , 550 , -   ," 22,248 "," 22,248 ", -   ,#DIV/0!," 2,274 ", -   , -   , -   
 NANDOLO , TN30022 , South , Zomba , GRID , PREPAID ," 1,000 ", 600 , -   , 598 , 2 ," 14,223 "," 14,224 ", 1 , 2 ," 3,274 ", -   , -   , -   
 MULUNGUZI , TN30020 , South , Zomba , GRID , PREPAID , 800 , 585 , -   , 583 , 2 ," 14,084 "," 14,085 ", 1 , 2 ," 5,123 ", -   , -   , -   
 COBBE , TN30043 , South , Zomba , GRID , PREPAID , 600 , 600 , -   , 560 , 40 ," 11,726 "," 11,743 ", 17 , 2 ,, -   , -   , -   
 MPITA TRADING , TN45005 , South , Machinga , GRID , PREPAID , 800 , 414 , 547 , 490 , 471 ," 17,196 "," 17,356 ", 160 , 3 ,, -   , -   , -   
 CHISUGULU - HILL , TN45002 , South , Phalombe , OFF GRID  , OFF GRID , 600 , 390 ," 2,033 ", 760 ," 1,663 "," 6,427 "," 6,723 ", 296 , 6 ,, -   , -   , -   
 MKAMWA , TN30018 , South , Zomba , OFF GRID  , OFF GRID , 600 , 342 , 381 , 420 , 303 ," 18,932 "," 19,016 ", 84 , 4 ,, -   , -   , -   
 ZOMBA DAM , TN30040 , South , Zomba , GRID , PREPAID , 600 , 522 , 396 , 591 , 327 ," 9,237 "," 9,249 ", 12 , 27 ," 9,139 ", -   , -   , -   
